0.65842,0.84735,0.88107,0.82006,0.79158,0.5198,0.53319,0.54126,0.61357,0.56914,0.58621,0.91481,0,1,0,0,1,1
0.84735,0.88107,0.82006,0.79158,0.91481,0.53319,0.54126,0.61357,0.56914,0.58621,0.57923,0.95082,1,0,1,0,0,0
0.88107,0.82006,0.79158,0.91481,0.95082,0.54126,0.61357,0.56914,0.58621,0.57923,0.5971,0.8784,0,1,0,1,0,0
0.82006,0.79158,0.91481,0.95082,0.8784,0.61357,0.56914,0.58621,0.57923,0.5971,0.62626,0.91919,0,0,1,0,1,1
0.79158,0.91481,0.95082,0.8784,0.91919,0.56914,0.58621,0.57923,0.5971,0.62626,0.56652,0.92489,1,0,0,1,0,0
0.91481,0.95082,0.8784,0.91919,0.92489,0.58621,0.57923,0.5971,0.62626,0.56652,0.59534,0.85593,0,1,0,0,1,1
0.95082,0.8784,0.91919,0.92489,0.85593,0.57923,0.5971,0.62626,0.56652,0.59534,0.65236,0.93777,1,0,1,0,0,0
0.8784,0.91919,0.92489,0.85593,0.93777,0.5971,0.62626,0.56652,0.59534,0.65236,0.61176,0.92941,0,1,0,1,0,1
0.91919,0.92489,0.85593,0.93777,0.92941,0.62626,0.56652,0.59534,0.65236,0.61176,0.61369,0.96577,1,0,1,0,1,0
0.92489,0.85593,0.93777,0.92941,0.96577,0.56652,0.59534,0.65236,0.61176,0.61369,0.55587,0.86592,0,1,0,1,0,1
0.85593,0.93777,0.92941,0.96577,0.86592,0.59534,0.65236,0.61176,0.61369,0.55587,0.56683,0.83663,1,0,1,0,1,0
0.93777,0.92941,0.96577,0.86592,0.83663,0.65236,0.61176,0.61369,0.55587,0.56683,0.57537,0.84289,0,1,0,1,0,0
0.92941,0.96577,0.86592,0.83663,0.84289,0.61176,0.61369,0.55587,0.56683,0.57537,0.51096,0.90351,0,0,1,0,1,0
0.96577,0.86592,0.83663,0.84289,0.90351,0.61369,0.55587,0.56683,0.57537,0.51096,0.49299,0.99065,0,0,0,1,0,0
0.86592,0.83663,0.84289,0.90351,0.99065,0.55587,0.56683,0.57537,0.51096,0.49299,0.56161,0.92891,0,0,0,0,1,1
0.83663,0.84289,0.90351,0.99065,0.92891,0.56683,0.57537,0.51096,0.49299,0.56161,0.6,0.84318,1,0,0,0,0,1
0.84289,0.90351,0.99065,0.92891,0.84318,0.57537,0.51096,0.49299,0.56161,0.6,0.60043,0.89633,1,1,0,0,0,0
0.90351,0.99065,0.92891,0.84318,0.89633,0.51096,0.49299,0.56161,0.6,0.60043,0.60223,0.82342,0,1,1,0,0,0
0.99065,0.92891,0.84318,0.89633,0.82342,0.49299,0.56161,0.6,0.60043,0.60223,0.65293,0.80911,0,0,1,1,0,1
0.92891,0.84318,0.89633,0.82342,0.80911,0.56161,0.6,0.60043,0.60223,0.65293,0.64957,0.86111,1,0,0,1,1,1
0.84318,0.89633,0.82342,0.80911,0.86111,0.6,0.60043,0.60223,0.65293,0.64957,0.62592,0.82885,1,1,0,0,1,0
0.89633,0.82342,0.80911,0.86111,0.82885,0.60043,0.60223,0.65293,0.64957,0.62592,0.68376,0.89316,0,1,1,0,0,1
0.82342,0.80911,0.86111,0.82885,0.89316,0.60223,0.65293,0.64957,0.62592,0.68376,0.57143,0.81459,1,0,1,1,0,1
0.80911,0.86111,0.82885,0.89316,0.81459,0.65293,0.64957,0.62592,0.68376,0.57143,0.56266,0.75448,1,1,0,1,1,1
0.86111,0.82885,0.89316,0.81459,0.75448,0.64957,0.62592,0.68376,0.57143,0.56266,0.56604,0.79481,1,1,1,0,1,0
0.82885,0.89316,0.81459,0.75448,0.79481,0.62592,0.68376,0.57143,0.56266,0.56604,0.54141,0.81616,0,1,1,1,0,1
0.89316,0.81459,0.75448,0.79481,0.81616,0.68376,0.57143,0.56266,0.56604,0.54141,0.57143,0.87785,1,0,1,1,1,1
0.81459,0.75448,0.79481,0.81616,0.87785,0.57143,0.56266,0.56604,0.54141,0.57143,0.61228,0.8906,1,1,0,1,1,0
0.75448,0.79481,0.81616,0.87785,0.8906,0.56266,0.56604,0.54141,0.57143,0.61228,0.52473,0.92473,0,1,1,0,1,0
0.79481,0.81616,0.87785,0.8906,0.92473,0.56604,0.54141,0.57143,0.61228,0.52473,0.63904,0.90424,0,0,1,1,0,1
0.81616,0.87785,0.8906,0.92473,0.90424,0.54141,0.57143,0.61228,0.52473,0.63904,0.69086,0.71408,1,0,0,1,1,0
0.87785,0.8906,0.92473,0.90424,0.71408,0.57143,0.61228,0.52473,0.63904,0.69086,0.52842,0.88211,0,1,0,0,1,1
0.8906,0.92473,0.90424,0.71408,0.88211,0.61228,0.52473,0.63904,0.69086,0.52842,0.55539,0.73748,1,0,1,0,0,1
0.92473,0.90424,0.71408,0.88211,0.73748,0.52473,0.63904,0.69086,0.52842,0.55539,0.53986,0.76449,1,1,0,1,0,1
0.90424,0.71408,0.88211,0.73748,0.76449,0.63904,0.69086,0.52842,0.55539,0.53986,0.544,0.81,1,1,1,0,1,0
0.71408,0.88211,0.73748,0.76449,0.81,0.69086,0.52842,0.55539,0.53986,0.544,0.61272,0.85838,0,1,1,1,0,1
0.88211,0.73748,0.76449,0.81,0.85838,0.52842,0.55539,0.53986,0.544,0.61272,0.5,0.96503,1,0,1,1,1,0
0.73748,0.76449,0.81,0.85838,0.96503,0.55539,0.53986,0.544,0.61272,0.5,0.58531,0.86493,0,1,0,1,1,1
