"Pscore","Nscore","Oscore"
0.630769230769231,0.788461538461538,-0.157692307692308
0.51980198019802,0.658415841584158,-0.138613861386139
0.533185840707965,0.847345132743363,-0.314159292035398
0.54126213592233,0.881067961165049,-0.339805825242719
0.613569321533923,0.820058997050148,-0.206489675516224
0.569138276553106,0.791583166332665,-0.222444889779559
0.653979238754325,0.813148788927336,-0.15916955017301
0.573476702508961,0.763440860215054,-0.189964157706093
0.586206896551724,0.914807302231237,-0.328600405679513
0.579234972677596,0.950819672131147,-0.371584699453552
0.597096188747731,0.878402903811252,-0.281306715063521
0.626262626262626,0.919191919191919,-0.292929292929293
0.566523605150215,0.924892703862661,-0.358369098712446
0.635245901639344,0.786885245901639,-0.151639344262295
0.66804979253112,0.746887966804979,-0.078838174273859
0.595338983050847,0.855932203389831,-0.260593220338983
0.652360515021459,0.937768240343348,-0.285407725321888
0.611764705882353,0.929411764705882,-0.317647058823529
0.613691931540342,0.965770171149144,-0.352078239608802
0.55586592178771,0.865921787709497,-0.310055865921788
0.582978723404255,0.782978723404255,-0.2
0.564444444444444,0.768888888888889,-0.204444444444444
0.566831683168317,0.836633663366337,-0.26980198019802
0.575371549893843,0.842887473460722,-0.267515923566879
0.510964912280702,0.903508771929825,-0.392543859649123
0.492990654205608,0.990654205607477,-0.497663551401869
0.561611374407583,0.928909952606635,-0.367298578199052
0.622489959839357,0.91566265060241,-0.293172690763052
0.618357487922705,0.768115942028985,-0.14975845410628
0.6,0.843181818181818,-0.243181818181818
0.600431965442765,0.896328293736501,-0.295896328293736
0.602230483271376,0.823420074349442,-0.221189591078067
0.6529284164859,0.809110629067245,-0.156182212581345
0.633333333333333,0.79,-0.156666666666667
0.599033816425121,0.826086956521739,-0.227053140096618
0.717391304347826,0.996376811594203,-0.278985507246377
0.64957264957265,0.861111111111111,-0.211538461538462
0.625916870415648,0.828850855745721,-0.202933985330073
0.683760683760684,0.893162393162393,-0.209401709401709
0.571428571428571,0.814589665653495,-0.243161094224924
0.562659846547315,0.754475703324808,-0.191815856777494
0.608695652173913,0.704347826086957,-0.0956521739130435
0.600760456273764,0.760456273764259,-0.159695817490494
0.566037735849057,0.794811320754717,-0.22877358490566
0.541414141414141,0.816161616161616,-0.274747474747475
0.571428571428571,0.877846790890269,-0.306418219461698
0.612284069097889,0.890595009596929,-0.27831094049904
0.524731182795699,0.924731182795699,-0.4
